,cusip,conm,tic,rdq_1,atq_1,dlttq_1,ltq_1,cheq_1,oibdpq_1,ppentq_1,piq_1,revtq_1,niq_1,cogsq_1,xoprq_1,xintq_1,oiadpq_1,dlcq_1,rdq_2,atq_2,dlttq_2,ltq_2,cheq_2,oibdpq_2,ppentq_2,piq_2,revtq_2,niq_2,cogsq_2,xoprq_2,xintq_2,oiadpq_2,dlcq_2,rdq_3,atq_3,dlttq_3,ltq_3,cheq_3,oibdpq_3,ppentq_3,piq_3,revtq_3,niq_3,cogsq_3,xoprq_3,xintq_3,oiadpq_3,dlcq_3,rdq_4,atq_4,dlttq_4,ltq_4,cheq_4,oibdpq_4,ppentq_4,piq_4,revtq_4,niq_4,cogsq_4,xoprq_4,xintq_4,oiadpq_4,dlcq_4,rdq_5,atq_5,dlttq_5,ltq_5,cheq_5,oibdpq_5,ppentq_5,piq_5,revtq_5,niq_5,cogsq_5,xoprq_5,xintq_5,oiadpq_5,dlcq_5,rdq_6,atq_6,dlttq_6,ltq_6,cheq_6,oibdpq_6,ppentq_6,piq_6,revtq_6,niq_6,cogsq_6,xoprq_6,xintq_6,oiadpq_6,dlcq_6,rdq_7,atq_7,dlttq_7,ltq_7,cheq_7,oibdpq_7,ppentq_7,piq_7,revtq_7,niq_7,cogsq_7,xoprq_7,xintq_7,oiadpq_7,dlcq_7,rdq_8,atq_8,dlttq_8,ltq_8,cheq_8,oibdpq_8,ppentq_8,piq_8,revtq_8,niq_8,cogsq_8,xoprq_8,xintq_8,oiadpq_8,dlcq_8,rdq_9,atq_9,dlttq_9,ltq_9,cheq_9,oibdpq_9,ppentq_9,piq_9,revtq_9,niq_9,cogsq_9,xoprq_9,xintq_9,oiadpq_9,dlcq_9,rdq_10,atq_10,dlttq_10,ltq_10,cheq_10,oibdpq_10,ppentq_10,piq_10,revtq_10,niq_10,cogsq_10,xoprq_10,xintq_10,oiadpq_10,dlcq_10,rdq_11,atq_11,dlttq_11,ltq_11,cheq_11,oibdpq_11,ppentq_11,piq_11,revtq_11,niq_11,cogsq_11,xoprq_11,xintq_11,oiadpq_11,dlcq_11,rdq_12,atq_12,dlttq_12,ltq_12,cheq_12,oibdpq_12,ppentq_12,piq_12,revtq_12,niq_12,cogsq_12,xoprq_12,xintq_12,oiadpq_12,dlcq_12
0,60487110,MISONIX INC,MSON,1995-11-14,4.967,0.072,2.022,1.358,-0.016,0.661,-0.07,2.128,-0.075,1.109,2.144,0.009,-0.066,0.575,1996-02-16,5.06,0.061,2.158,1.616,0.017,0.615,-0.043,2.252,-0.044,1.136,2.235,0.012,-0.036,0.577,1996-05-14,5.707,0.077,2.509,1.458,0.355,0.605,0.3,2.822,0.261,1.353,2.467,0.011,0.302,0.574,1996-08-13,6.075,0.082,2.602,1.507,0.296,0.622,0.272,2.78,0.247,1.39,2.484,0.01,0.259,0.571,1996-10-30,6.373,0.105,2.47,1.518,0.48,0.692,0.427,2.9,0.425,1.301,2.42,0.011,0.424,0.609,1997-01-22,7.603,0.659,3.052,2.432,0.546,0.755,0.555,3.627,0.55,1.737,3.081,0.01,0.525,0.58,1997-04-21,16.639,0.113,4.929,9.41,1.432,0.849,-2.861,5.118,-2.906,2.054,3.686,0.011,1.367,0.612,1997-08-12,18.737,0.135,4.723,11.778,2.055,0.956,2.14,6.07,2.108,2.268,4.015,0.009,1.966,0.607,1997-10-30,19.49,0.116,4.584,10.159,1.181,0.921,1.261,5.03,0.908,2.029,3.849,0.012,1.051,0.653,1998-01-28,21.333,0.124,5.45,10.197,1.18,0.926,1.326,5.843,0.944,2.642,4.663,0.013,1.085,0.676,1998-04-28,22.05,0.104,5.12,11.523,1.232,1.222,1.422,6.536,1.035,3.159,5.304,0.011,1.182,0.359,1998-08-19,25.329,0.105,5.956,11.0,3.031,1.248,3.396,9.429,2.441,4.118,6.398,0.04,3.017,0.659
1,45943650,INTL ELECTRONICS INC,IEIB,1996-01-08,2.69,0.437,1.658,0.351,0.099,0.265,0.035,1.945,0.03,1.078,1.846,0.014,0.044,0.066,1996-03-29,2.94,0.426,1.769,0.529,0.134,0.292,0.067,2.046,0.051,1.131,1.912,0.013,0.073,0.099,1996-07-11,2.985,0.425,1.778,0.518,0.135,0.288,0.059,2.249,0.035,1.215,2.114,0.014,0.072,0.091,1996-11-07,3.1,0.409,1.824,0.557,0.106,0.301,0.041,2.37,0.046,1.38,2.264,0.012,0.037,0.08,1997-01-10,3.218,0.417,1.911,0.604,0.114,0.318,0.044,2.298,0.028,1.307,2.184,0.012,0.053,0.074,1997-04-10,3.095,0.054,1.858,0.508,0.0,0.354,-0.074,2.187,-0.07,1.256,2.187,0.012,-0.07,0.04,1997-07-14,3.208,0.058,1.959,0.387,0.088,0.339,0.02,2.334,0.01,1.32,2.246,0.004,0.015,0.035,1997-11-19,3.026,0.068,1.675,0.16,0.191,0.357,0.108,2.355,0.102,1.271,2.164,0.003,0.11,0.036,1998-01-08,3.177,0.074,1.717,0.224,0.207,0.442,0.153,2.361,0.109,1.245,2.154,0.003,0.155,0.041,1998-04-02,3.218,0.097,1.648,0.462,0.183,0.427,0.137,2.232,0.109,1.167,2.049,0.003,0.14,0.054,1998-07-15,3.356,0.1,1.684,0.557,0.242,0.411,0.13,2.437,0.102,1.169,2.195,0.005,0.124,0.063,1998-10-14,3.312,0.083,1.419,0.896,0.286,0.369,0.231,2.622,0.21,1.283,2.336,0.005,0.21,0.064
2,84657330,SPARTA FOODS INC,SPFO,1996-02-13,7.566,2.485,5.894,0.001,0.195,4.016,-0.072,2.921,-0.072,2.025,2.726,0.142,0.066,1.854,1996-05-13,7.378,2.336,4.548,0.027,0.192,3.936,-0.02,2.995,-0.02,2.045,2.803,0.109,0.059,1.282,1996-08-14,7.208,2.19,4.263,0.001,0.32,3.847,0.123,3.347,0.123,2.291,3.027,0.094,0.181,1.015,1996-12-12,7.007,2.064,3.997,0.001,0.302,3.735,0.079,3.4,0.074,2.324,3.098,0.087,0.15,0.863,1997-01-27,7.217,1.952,4.093,0.009,0.309,3.783,0.112,3.111,0.111,2.045,2.802,0.083,0.163,1.426,1997-04-24,7.159,1.842,3.965,0.104,0.27,3.574,0.072,3.194,0.07,2.143,2.924,0.083,0.134,1.261,1997-07-24,7.758,1.729,4.157,0.031,0.599,3.623,0.421,3.81,0.408,2.419,3.211,0.074,0.46,1.233,1997-11-25,10.897,4.051,7.411,0.001,0.496,5.118,-0.147,3.963,-0.153,2.587,3.467,0.08,0.289,1.535,1998-01-21,10.862,3.997,7.373,0.001,0.205,6.565,-0.009,3.812,-0.01,2.603,3.607,0.092,0.045,1.917,1998-04-17,11.591,4.204,5.816,0.95,0.147,6.563,-0.068,3.266,-0.068,2.312,3.119,0.111,0.005,0.73,1998-07-17,10.448,2.802,4.173,0.677,0.599,6.48,0.338,3.97,0.336,2.479,3.371,0.077,0.374,0.356,1998-11-24,10.721,2.667,4.011,1.131,0.34,6.257,0.168,3.915,0.436,2.572,3.575,0.054,0.18,0.367
3,92330410,VENTURIAN CORP,VENT,1996-05-06,19.36,0.201,8.8,1.79,0.399,2.003,0.279,6.783,0.272,4.551,6.384,0.094,0.257,2.174,1996-08-07,19.301,0.266,8.785,0.696,0.103,2.101,-0.044,7.752,-0.044,5.584,7.649,0.08,-0.04,2.397,1996-11-11,18.857,0.234,8.421,0.795,0.078,1.869,-0.097,6.82,-0.097,4.617,6.742,0.079,-0.065,2.066,1997-02-24,18.053,0.163,7.664,1.076,0.049,1.794,-0.054,7.043,-0.047,4.653,6.994,0.118,-0.057,1.657,1997-05-07,19.811,0.093,10.316,0.648,-0.694,1.942,-0.896,6.743,-0.896,4.691,7.437,0.094,-0.844,3.901,1997-08-04,18.434,0.189,9.269,0.575,-0.23,2.092,-0.355,8.078,-0.355,5.677,8.308,0.114,-0.384,3.064,1997-11-12,18.929,0.411,11.057,0.568,-1.158,2.279,-1.293,4.714,-1.293,3.305,5.872,0.13,-1.315,4.585,1998-03-05,23.888,3.954,14.527,0.564,0.639,2.206,0.219,8.044,0.219,5.566,7.405,0.174,0.564,3.068,1998-04-30,26.894,3.891,17.721,0.391,0.337,2.169,-0.188,7.396,-0.188,4.903,7.059,0.219,0.208,5.243,1998-08-05,28.59,3.999,18.905,2.498,1.208,2.297,0.517,12.679,0.482,9.123,11.471,0.208,1.076,2.442,1998-11-03,27.172,4.385,16.067,1.313,1.307,2.245,1.2,12.209,1.016,8.535,10.902,0.191,1.177,1.428,1999-03-02,22.48,4.424,10.783,3.799,0.471,2.551,0.365,9.429,0.521,6.625,8.958,0.164,0.292,0.372
4,87160C10,SYNERGX SYSTEMS INC,SYNX,1996-02-21,7.189,0.818,4.9,0.0,0.186,0.506,0.052,2.942,0.07,1.754,2.756,0.077,0.124,2.09,1996-05-15,8.158,0.862,5.005,0.236,0.611,0.51,0.787,3.595,0.864,1.966,2.984,0.072,0.547,2.071,1996-08-14,8.118,0.745,4.723,0.565,0.225,0.485,0.125,3.66,0.172,2.404,3.435,0.07,0.164,1.992,1996-12-24,7.766,0.195,4.331,0.497,0.036,0.46,-0.07,3.417,-0.064,2.357,3.381,0.07,-0.022,2.278,1997-02-12,8.806,0.206,5.114,0.705,0.404,0.475,0.287,4.824,0.256,3.363,4.42,0.064,0.342,2.245,1997-05-13,8.397,0.421,4.846,0.698,0.331,0.474,0.214,4.207,0.187,2.801,3.876,0.061,0.266,2.279,1997-08-11,7.816,0.691,4.126,0.505,0.261,0.473,0.153,3.262,0.139,1.928,3.001,0.057,0.2,1.783,1997-12-16,8.036,0.669,4.126,0.579,0.344,0.459,0.248,3.736,0.22,2.333,3.392,0.06,0.286,1.777,1998-02-13,7.871,0.633,3.955,0.438,0.107,0.431,0.01,2.847,0.006,1.779,2.74,0.055,0.055,1.773,1998-05-18,7.869,1.274,4.528,0.44,0.205,0.394,0.106,3.43,0.1,2.173,3.225,0.056,0.152,1.767,1998-08-10,8.451,1.896,5.005,0.347,0.232,0.369,0.116,3.869,0.105,2.592,3.637,0.075,0.18,1.085,1998-12-21,8.002,1.988,4.556,0.105,0.13,0.346,0.029,4.153,0.0,2.883,4.023,0.074,0.081,0.487
5,26842820,EFI ELECTRONICS CORP,3EFIC,1996-07-25,7.294,1.024,6.472,0.001,0.093,1.8,-0.187,3.109,-0.187,1.773,3.016,0.118,-0.087,3.091,1996-10-22,7.237,0.944,5.871,0.009,0.25,1.716,-0.014,3.559,-0.014,2.173,3.309,0.1,0.051,2.777,1997-01-27,7.639,0.896,6.332,0.011,0.311,1.69,0.002,3.614,0.002,2.289,3.303,0.115,0.091,3.167,1997-06-02,7.695,1.048,6.683,0.01,0.064,1.659,-0.264,3.478,-0.298,2.257,3.414,0.121,-0.081,3.73,1997-07-17,7.973,0.964,6.918,0.001,0.291,1.824,0.043,3.639,0.043,2.137,3.348,0.13,0.143,3.964,1997-10-16,8.963,0.89,6.12,0.016,0.386,1.952,0.09,4.191,0.09,2.569,3.805,0.133,0.198,3.339,1998-01-26,10.096,1.1,7.219,0.007,0.433,2.397,0.033,4.249,0.033,2.552,3.816,0.136,0.286,4.083,1998-05-28,10.277,1.249,7.711,0.01,0.093,2.54,-0.382,4.293,-0.412,3.114,4.2,0.209,-0.089,4.315,1998-07-20,10.332,1.111,7.187,0.001,0.411,2.49,0.027,3.582,0.027,2.088,3.171,0.137,0.193,4.064,1998-10-13,10.908,0.98,7.578,0.119,0.511,2.6,0.126,4.27,0.126,2.627,3.759,0.133,0.294,4.112,1999-01-19,9.473,1.113,6.166,0.014,0.369,2.524,0.038,3.461,0.038,2.077,3.092,0.109,0.174,3.407,1999-06-03,8.081,0.981,6.2,0.263,-0.308,2.448,-0.935,2.578,-0.938,1.803,2.886,0.104,-0.564,3.751
6,45252530,IMMUCELL CORP,ICCC,1996-04-25,3.082,0.56,1.189,1.143,0.026,0.778,-0.012,1.416,-0.012,1.39,1.39,0.02,-0.006,0.177,1996-07-23,2.976,0.518,1.179,1.031,-0.102,0.805,-0.135,0.854,-0.135,0.956,0.956,0.017,-0.13,0.177,1996-10-28,2.998,0.629,1.308,0.824,-0.07,0.84,-0.107,1.011,-0.107,1.081,1.081,0.017,-0.099,0.224,1997-02-12,3.131,0.57,1.254,1.044,0.223,0.816,0.188,1.159,0.188,0.936,0.936,0.021,0.199,0.229,1997-04-28,3.189,0.509,1.153,1.061,0.185,0.812,0.152,1.3,0.152,1.115,1.115,0.017,0.161,0.235,1997-07-22,2.913,0.446,1.082,0.932,-0.173,0.792,-0.204,0.848,-0.204,1.021,1.021,0.019,-0.197,0.241,1997-10-24,2.851,0.382,1.024,0.798,0.029,0.812,-0.004,0.981,-0.004,0.952,0.952,0.017,0.004,0.247,1998-02-04,3.231,0.339,0.901,1.021,0.364,0.789,0.32,1.428,0.32,1.064,1.064,0.015,0.338,0.23,1998-04-21,3.402,0.311,0.833,1.405,0.231,0.785,0.219,1.335,0.219,1.104,1.104,0.013,0.205,0.198,1998-07-22,3.296,0.463,0.807,1.352,-0.061,0.783,-0.08,0.856,-0.08,0.917,0.917,0.012,-0.088,0.016,1998-10-22,3.222,0.459,0.877,1.33,-0.038,0.765,-0.144,1.117,-0.144,1.155,1.155,0.01,-0.06,0.016,1999-02-04,3.145,0.453,0.897,1.538,-0.026,0.75,-0.098,1.174,-0.098,1.2,1.2,0.01,-0.057,0.017
7,59484610,MICRO-INTEGRATION CORP,MINT.1,1996-08-14,6.387,1.173,1.837,1.566,-0.052,2.137,-0.167,1.575,-0.179,0.481,1.627,0.026,-0.156,0.273,1996-11-11,6.25,1.145,2.09,1.163,-0.302,2.242,-0.399,1.559,-0.396,0.648,1.861,0.028,-0.407,0.252,1997-02-13,7.152,1.32,2.967,1.191,-0.087,2.3,-0.221,2.518,-0.244,1.378,2.605,0.029,-0.214,0.725,1997-06-03,6.231,1.21,3.275,0.471,-0.911,2.034,-1.341,4.008,-1.36,2.549,4.919,0.049,-1.01,0.659,1997-07-28,6.013,1.19,3.053,0.573,0.106,1.966,0.009,3.359,0.004,2.244,3.253,0.036,0.026,0.609,1997-10-30,5.891,1.158,2.819,0.32,0.082,1.91,0.112,3.002,0.112,1.863,2.92,0.034,0.003,0.556,1998-02-16,5.828,1.183,2.59,0.399,0.117,1.911,0.085,2.959,0.086,1.796,2.842,0.036,0.047,0.544,1998-06-09,5.275,1.163,2.66,0.277,-0.569,1.896,-0.627,3.032,-0.623,2.517,3.601,0.036,-0.64,0.503,1998-08-11,6.177,1.252,3.14,0.249,-0.095,1.888,-0.188,3.205,-0.19,2.033,3.3,0.037,-0.172,0.789,1998-11-05,6.255,1.2,3.268,0.125,0.032,1.822,-0.075,2.957,-0.075,1.749,2.925,0.04,-0.051,0.662,1999-02-08,6.127,1.183,3.321,0.107,-0.083,1.77,-0.179,3.434,-0.181,2.26,3.517,0.039,-0.161,0.711,1999-06-29,5.327,1.132,3.033,0.075,-0.369,1.82,-0.515,2.618,-0.511,1.632,2.987,0.037,-0.501,0.832
8,04316810,ARTS WAY MFG INC,ARTW,1996-09-25,10.412,1.313,4.692,-0.116,0.271,2.18,0.012,3.956,0.008,2.842,3.685,0.123,0.136,1.772,1996-12-23,10.669,1.807,4.282,0.009,0.046,3.104,-0.195,3.32,-0.127,2.405,3.274,0.08,-0.106,0.947,1997-03-18,12.993,1.7,6.629,0.044,0.248,2.918,-0.036,4.565,-0.024,3.294,4.317,0.071,0.044,2.012,1997-07-17,15.214,1.708,8.624,0.025,0.59,3.003,0.344,4.599,0.223,2.949,4.009,0.053,0.495,3.115,1997-03-18,12.993,1.7,6.629,0.044,0.248,2.918,-0.036,4.565,-0.024,3.294,4.317,0.071,0.044,2.012,1997-07-17,15.214,1.708,8.624,0.025,0.59,3.003,0.344,4.599,0.223,2.949,4.009,0.053,0.495,3.115,1997-09-11,16.682,1.601,9.666,0.003,0.93,2.871,0.573,5.591,0.373,3.587,4.661,0.144,0.773,4.612,1998-01-28,15.322,1.452,8.188,0.009,0.483,2.835,0.183,5.546,0.118,3.916,5.063,0.121,0.359,3.655,1998-03-17,17.924,1.333,10.837,0.073,0.199,2.799,-0.072,4.788,-0.047,3.532,4.589,0.129,0.082,4.891,1998-06-25,18.45,2.353,11.421,0.049,0.205,2.715,-0.089,6.872,-0.058,5.572,6.667,0.145,0.089,4.812,1998-09-18,18.444,2.268,11.166,0.025,0.686,2.94,0.383,5.686,0.249,3.763,5.0,0.137,0.569,5.143,1999-01-29,16.995,2.159,10.185,0.014,-0.341,2.864,-0.783,6.287,-0.468,5.228,6.628,0.148,-0.472,4.729
9,26787610,DYNAMIC HOMES INC,DYHM,1996-05-15,6.741,1.343,3.314,0.059,-0.054,3.524,-0.088,1.109,-0.053,0.896,1.163,0.003,-0.089,0.062,1996-08-06,7.601,1.439,3.892,0.115,0.554,3.897,0.47,3.209,0.282,2.313,2.655,0.028,0.497,0.063,1996-11-05,7.827,1.875,3.619,0.814,0.896,3.904,0.804,4.803,0.484,3.555,3.907,0.034,0.832,0.086,1997-03-28,7.62,2.078,3.217,0.554,0.467,4.217,0.316,3.051,0.195,2.124,2.584,0.055,0.36,0.107,1997-05-15,7.886,2.054,3.568,0.059,-0.009,4.423,-0.142,1.748,-0.085,1.428,1.757,0.04,-0.104,0.231,1997-08-08,8.682,2.979,4.456,0.112,0.011,4.645,-0.152,2.296,-0.091,1.759,2.285,0.062,-0.089,0.14,1997-10-31,9.455,2.937,4.794,0.916,0.909,4.594,0.724,4.929,0.434,3.412,4.02,0.065,0.788,0.146,1998-03-18,8.882,2.952,4.15,1.33,0.239,4.604,0.126,3.886,0.071,2.97,3.647,0.07,0.119,0.154,1998-05-08,9.139,2.916,4.652,0.163,-0.245,4.608,-0.408,1.058,-0.339,0.79,1.303,0.069,-0.362,0.233,1998-07-28,9.872,2.875,5.239,0.057,0.42,4.559,0.243,4.076,0.146,3.08,3.656,0.074,0.303,0.597,1998-10-28,9.941,2.904,4.878,0.56,0.891,4.682,0.716,5.116,0.429,3.597,4.225,0.068,0.769,0.192,1999-03-16,9.425,2.852,4.318,0.312,0.294,4.578,0.185,3.655,0.138,2.734,3.361,0.058,0.197,0.197
10,00208K10,AT COMM CORP,ATCM,1996-05-15,2.381,0.0,1.313,0.235,-0.037,0.431,-0.093,1.34,-0.096,0.544,1.377,0.002,-0.094,0.0,1996-07-31,2.484,0.0,1.395,0.504,0.075,0.393,0.022,1.387,0.021,0.581,1.312,0.0,0.018,0.0,1996-11-04,2.297,0.0,1.14,0.315,0.122,0.377,0.068,1.351,0.068,0.554,1.229,0.0,0.064,0.0,1997-02-26,2.486,0.0,1.23,0.291,0.17,0.358,0.107,1.383,0.099,0.522,1.213,0.0,0.113,0.0,1997-05-16,2.299,0.0,1.014,0.389,0.098,0.351,0.032,1.273,0.029,0.423,1.175,0.0,0.04,0.0,1997-08-14,2.225,0.0,0.982,0.54,0.062,0.327,0.002,1.249,0.002,0.445,1.187,0.0,0.005,0.0,1997-11-14,5.272,0.0,1.15,3.13,-0.029,0.378,-0.076,1.266,-0.08,0.464,1.295,0.0,-0.084,0.0,1998-03-16,5.654,0.0,1.464,2.634,-0.369,0.432,0.081,1.273,0.077,0.577,1.642,0.0,-0.373,0.0,1998-05-14,4.721,0.069,1.567,2.062,-0.99,0.769,-1.025,1.198,-1.026,0.521,2.188,0.0,-1.053,0.0,1998-08-14,3.728,0.061,1.589,0.918,-0.966,0.86,-1.024,1.358,-1.029,0.564,2.324,0.003,-1.04,0.0,1998-11-16,6.034,0.051,1.755,3.396,-0.784,0.928,-0.849,1.312,-0.852,0.461,2.096,0.001,-0.859,0.0,1999-02-22,11.408,0.042,1.753,8.272,-0.988,1.446,-0.974,1.394,-0.974,0.501,2.382,0.002,-1.081,0.0
11,19248010,COHESANT TECHNOLOGIES INC,COHT,1996-03-29,8.881,0.153,2.264,0.833,-0.138,0.932,-0.274,2.924,-0.171,1.979,3.062,0.011,-0.205,0.231,1996-07-15,8.517,0.103,2.112,0.623,-0.211,0.86,-0.302,3.579,-0.302,2.439,3.79,0.006,-0.295,0.205,1996-10-09,8.531,0.095,2.058,0.749,0.173,0.852,0.105,3.858,0.068,2.37,3.685,0.007,0.091,0.205,1997-01-24,8.197,0.088,2.189,0.501,0.079,0.937,-0.447,3.282,-0.465,2.049,3.203,0.008,-0.047,0.2,1997-04-11,8.831,0.0,2.915,0.113,0.047,0.951,0.007,2.139,-0.092,1.214,2.092,0.011,-0.006,0.82,1997-06-27,9.43,0.0,3.551,0.369,0.062,1.163,0.007,2.442,-0.037,1.328,2.38,0.019,0.005,1.134,1997-10-09,8.667,0.0,4.084,0.202,0.287,0.857,0.216,2.84,-1.295,1.492,2.553,0.024,0.236,1.01,1998-01-16,8.877,0.063,4.327,0.06,0.089,0.628,0.004,2.41,-0.034,1.297,2.321,0.028,0.022,1.616,1998-03-20,7.926,0.0,3.206,0.019,0.223,0.627,0.17,2.604,0.17,1.397,2.381,0.03,0.164,1.066,1998-06-18,7.759,0.0,2.862,0.054,0.231,0.619,0.177,3.181,0.177,1.751,2.95,0.027,0.163,1.068,1998-09-22,7.787,0.0,2.639,0.171,0.285,0.629,0.251,3.054,0.251,1.622,2.769,0.02,0.224,0.859,1998-12-22,7.571,0.025,2.83,0.12,0.159,0.606,0.098,2.897,0.098,1.541,2.738,0.019,0.08,0.914
12,28586110,ELECTR TELE-COMMUNCTN,ETCIA,1996-04-29,7.806,0.0,1.267,0.354,-0.099,2.037,-0.215,2.87,-0.161,1.338,2.969,0.001,-0.219,0.0,1996-07-30,7.753,0.0,1.342,0.609,-0.036,1.938,-0.159,2.774,-0.128,1.303,2.81,0.0,-0.149,0.0,1996-10-21,8.999,0.0,2.621,1.637,0.212,1.898,0.112,3.217,0.107,1.574,3.005,0.0,0.11,0.0,1997-03-04,8.115,0.0,1.299,1.002,0.797,1.847,0.68,4.053,0.439,1.851,3.256,0.001,0.694,0.0,1997-04-30,8.094,0.0,1.32,0.837,0.221,1.805,0.113,3.5,0.078,1.847,3.279,0.0,0.117,0.0,1997-07-23,8.277,0.0,1.488,0.383,0.137,1.803,0.022,3.052,0.015,1.485,2.915,0.008,0.037,0.0,1997-11-10,8.043,0.0,1.792,0.376,-0.527,1.778,-0.625,2.545,-0.398,1.56,3.072,0.001,-0.614,0.4,1998-02-27,7.098,0.0,1.207,0.49,-0.154,1.721,-0.271,2.539,-0.372,1.365,2.693,0.01,-0.25,0.225,1998-04-24,7.21,0.0,1.644,0.345,-0.223,1.702,-0.334,2.646,-0.244,1.419,2.869,0.006,-0.318,0.575,1998-07-22,8.024,0.0,2.406,0.359,0.23,1.704,0.125,3.21,0.052,1.532,2.98,0.019,0.133,1.225,1998-10-26,7.672,0.0,2.033,0.506,0.172,1.657,0.06,3.025,0.021,1.462,2.853,0.025,0.085,1.0,1999-01-20,8.439,0.0,2.45,0.848,0.655,1.629,0.543,4.269,0.35,2.336,3.614,0.017,0.561,1.3
13,02553T20,AMERICAN EDUCATIONAL PRODUCT,AMEP.1,1996-05-10,11.186,1.99,6.526,0.22,0.255,5.623,-0.201,2.047,-0.201,0.877,1.792,0.137,-0.064,2.757,1996-07-22,9.6,1.141,5.664,0.085,0.057,3.558,-0.73,2.515,-0.73,1.383,2.458,0.12,-0.226,2.353,1996-10-17,8.772,1.002,4.342,0.045,0.575,3.433,0.288,2.631,0.288,1.364,2.056,0.089,0.3,1.87,1997-02-20,7.556,0.907,3.388,0.107,-0.065,3.193,-0.452,1.308,-0.452,0.77,1.373,0.072,-0.38,1.508,1997-04-16,7.591,0.0,3.474,0.075,0.264,3.048,-0.055,1.621,-0.055,0.854,1.357,0.063,0.008,2.434,1997-07-10,8.154,0.0,3.734,0.115,0.656,2.899,0.303,2.544,0.303,1.263,1.888,0.094,0.397,2.78,1997-10-14,7.862,0.0,3.08,0.212,0.681,2.778,0.357,2.592,0.357,1.343,1.911,0.091,0.448,2.296,1998-02-03,7.251,0.0,2.533,0.183,0.245,2.606,-0.091,1.635,-0.091,0.763,1.39,0.075,-0.016,1.855,1998-04-14,7.665,0.091,2.799,0.101,0.244,2.623,-0.021,1.847,-0.021,0.995,1.603,0.067,0.046,2.004,1998-07-17,10.372,1.22,4.904,0.158,0.633,3.044,0.352,2.555,0.352,1.252,1.922,0.071,0.423,2.644,1998-10-15,11.951,1.172,5.792,0.277,0.995,3.077,0.636,4.542,0.636,2.273,3.547,0.106,0.742,2.927,1999-03-19,11.202,1.087,5.051,0.124,0.245,2.813,-0.086,2.731,-0.117,1.445,2.486,0.114,0.028,2.509
14,83606610,SOUND ADVICE INC,SUND.1,1995-11-14,59.345,1.705,38.706,0.043,0.138,15.365,-1.043,44.165,-0.757,30.662,44.027,0.32,-0.725,14.434,1996-02-14,57.146,1.666,38.467,0.048,0.602,14.753,-2.135,53.26,-1.96,36.959,52.658,0.404,-0.232,13.779,1996-05-15,47.495,1.605,28.88,0.051,1.03,14.112,-0.064,39.079,-0.064,26.295,38.049,0.293,0.23,11.915,1996-09-30,49.056,1.562,31.887,1.007,-0.18,13.948,-1.471,32.481,-1.446,21.086,32.661,0.509,-0.956,9.261,1996-11-11,52.3,1.517,35.127,0.164,1.088,14.193,0.004,40.351,0.004,27.3,39.263,0.335,0.336,12.378,1997-02-11,50.45,1.474,32.752,0.182,2.21,14.485,1.0,47.724,0.525,31.936,45.514,0.443,1.425,7.243,1997-05-13,50.871,1.429,33.257,0.055,0.52,14.035,-0.084,35.431,-0.084,23.211,34.911,0.356,0.25,12.045,1997-09-29,46.55,1.384,30.252,0.081,0.245,13.667,-1.402,32.117,-1.316,20.068,31.872,0.422,-1.038,12.046,1998-06-08,47.906,0.816,32.447,0.084,1.421,13.84,0.246,33.648,0.117,20.989,32.227,0.378,0.607,17.344,1998-09-14,43.613,0.801,28.385,0.535,0.98,13.67,-0.205,33.519,-0.231,21.297,32.539,0.379,0.155,13.106,1998-12-09,53.925,0.799,38.581,1.277,1.39,14.242,0.251,34.422,0.116,21.713,33.032,0.309,0.531,16.401,1999-04-27,55.217,0.797,39.159,1.384,2.95,16.007,1.725,53.002,0.705,33.958,50.052,0.351,2.045,14.243
15,53191410,LIFEWAY FOODS INC,LWAY,1996-05-14,3.894,0.649,1.192,1.158,0.343,1.646,0.285,1.259,0.178,0.457,0.916,0.013,0.287,0.043,1996-07-24,4.036,0.639,1.16,0.885,0.352,1.598,0.301,1.353,0.181,0.81,1.001,0.009,0.297,0.044,1996-11-08,4.418,0.625,1.382,1.13,0.329,1.579,0.261,1.374,0.16,0.708,1.045,0.014,0.266,0.045,1997-03-04,5.26,1.469,2.125,1.21,0.155,2.877,0.138,1.309,0.099,1.037,1.154,0.026,0.086,0.106,1997-05-08,5.443,1.447,2.1,1.223,0.344,2.834,0.339,1.414,0.209,0.606,1.07,0.037,0.289,0.107,1997-08-06,5.751,1.416,2.144,0.995,0.379,3.293,0.432,1.474,0.263,0.857,1.095,0.029,0.324,0.111,1997-11-11,6.043,1.4,2.268,0.728,0.306,3.776,0.254,1.504,0.156,0.779,1.198,0.024,0.251,0.107,1998-04-01,6.232,0.792,2.376,0.779,0.287,3.916,0.152,1.569,0.072,0.916,1.282,0.034,0.176,0.682,1998-05-12,6.181,0.777,2.094,0.712,0.486,3.908,0.377,1.631,0.231,0.601,1.145,0.027,0.395,0.668,1998-08-12,6.414,0.771,2.112,0.818,0.453,3.963,0.35,1.694,0.214,0.615,1.241,0.022,0.361,0.653,1998-11-04,6.599,1.128,2.083,0.932,0.415,3.985,0.299,1.748,0.184,0.823,1.333,0.033,0.324,0.267,1999-03-16,6.89,1.315,2.252,0.968,0.376,4.148,0.28,1.722,0.134,1.267,1.346,0.024,0.259,0.085
